user_id,mood_input,roast_level_label,acidity_label,body_label,beans_label
"bd061aaa-1eda-4058-a1e9-e5adb370c1c5","relax, healing 本日は愛犬と七里ヶ浜のロンハーマンに行くので、海でまったりコーヒーを飲んで過ごしたいです！","roast_level_","acidity_","body_",""
"bd061aaa-1eda-4058-a1e9-e5adb370c1c5","relax, healing 本日は愛犬と七里ヶ浜のロンハーマンに行くので、海でまったりコーヒーを飲んで過ごしたいです！","roast_level_","acidity_","body_",""
"bd061aaa-1eda-4058-a1e9-e5adb370c1c5","focus, excited 愛犬と海でコーヒーを飲みたいです","roast_level_","acidity_","body_",""
"5dabeb6c-54ee-4d77-a399-98d09575a579","energize 月曜日の仕事終わり。まずはホッと一息休憩したいのと、今週頑張るぞ〜ってエネルギーをチャージしたい！","roast_level_","acidity_","body_",""
"bd061aaa-1eda-4058-a1e9-e5adb370c1c5","relax, healing 愛犬と映画を見ながらまったりコーヒーを飲みたいです","roast_level_","acidity_","body_",""
"bd061aaa-1eda-4058-a1e9-e5adb370c1c5","focus, excited 愛犬と海でコーヒーを飲みたいです","roast_level_","acidity_","body_",""
"5dabeb6c-54ee-4d77-a399-98d09575a579","relax, healing 仕事終わり、コーヒーの香りで自分だけの時間を丁寧に味わいたい","roast_level_","acidity_","body_",""
"5dabeb6c-54ee-4d77-a399-98d09575a579","energize 午後ちょっと仕事疲れてきたから、甘いもの飲みたい","roast_level_","acidity_","body_",""
"bd061aaa-1eda-4058-a1e9-e5adb370c1c5","sleepy 眠気覚ましの一杯が欲しいです！","roast_level_","acidity_","body_",""
"bd061aaa-1eda-4058-a1e9-e5adb370c1c5","relax この数日とても疲れたので安らぐコーヒーを飲みたいです","roast_level_","acidity_","body_",""
"5dabeb6c-54ee-4d77-a399-98d09575a579","sleepy 週末金曜日夜、仕事疲れたからリラックスしたいー","roast_level_","acidity_","body_",""
"bd061aaa-1eda-4058-a1e9-e5adb370c1c5","focus 今日はバリバリ集中してコーディングを進めていきたいです！","roast_level_","acidity_","body_",""
